id_prov;nom_prov;id_depto;nom_depto;id_loca;nom_loca;cp;cpa
22;SANTIAGO DEL ESTERO;473;CHOYA;18911;SANTA ROSA;4230;G4206XAU
22;SANTIAGO DEL ESTERO;473;CHOYA;18911;SANTA ROSA;4302;G4206XAU
22;SANTIAGO DEL ESTERO;473;CHOYA;18911;SANTA ROSA;4322;G4206XAU
22;SANTIAGO DEL ESTERO;473;CHOYA;18911;SANTA ROSA;4339;G4206XAU
22;SANTIAGO DEL ESTERO;473;CHOYA;18911;SANTA ROSA;4351;G4206XAU
22;SANTIAGO DEL ESTERO;473;CHOYA;18911;SANTA ROSA;4354;G4206XAU
22;SANTIAGO DEL ESTERO;473;CHOYA;18911;SANTA ROSA;5251;G4206XAU
22;SANTIAGO DEL ESTERO;473;CHOYA;18911;SANTA ROSA;5257;G4206XAU
22;SANTIAGO DEL ESTERO;473;CHOYA;18912;SANTA ROSA DE CORONEL;4205;G4205XBD
22;SANTIAGO DEL ESTERO;473;CHOYA;18915;SHISHI POZO;4205;G4205XAB
22;SANTIAGO DEL ESTERO;473;CHOYA;18917;SOL DE MAYO;4201;G4201XBN
22;SANTIAGO DEL ESTERO;473;CHOYA;18917;SOL DE MAYO;4203;G4201XBN
22;SANTIAGO DEL ESTERO;473;CHOYA;18917;SOL DE MAYO;4208;G4201XBN
22;SANTIAGO DEL ESTERO;473;CHOYA;18917;SOL DE MAYO;4315;G4201XBN
22;SANTIAGO DEL ESTERO;473;CHOYA;18918;SUNCHO POZO;3760;G3760XAG
22;SANTIAGO DEL ESTERO;473;CHOYA;18918;SUNCHO POZO;4230;G3760XAG
22;SANTIAGO DEL ESTERO;473;CHOYA;18918;SUNCHO POZO;4613;G3760XAG
22;SANTIAGO DEL ESTERO;473;CHOYA;18919;SUNCHO PUJIO;4184;G4184XAJ
22;SANTIAGO DEL ESTERO;473;CHOYA;18919;SUNCHO PUJIO;4230;G4184XAJ
22;SANTIAGO DEL ESTERO;473;CHOYA;18922;TRES BAJADAS;4205;G4205XBH
22;SANTIAGO DEL ESTERO;473;CHOYA;18922;TRES BAJADAS;4230;G4205XBH
22;SANTIAGO DEL ESTERO;473;CHOYA;18928;VILLA RIVADAVIA;4233;G4233XBE
22;SANTIAGO DEL ESTERO;473;CHOYA;18930;ZORRO HUARCUNA;4237;G4237XAB
22;SANTIAGO DEL ESTERO;474;COPO;18931;AHI VEREMOS;4197;G4197XAT
22;SANTIAGO DEL ESTERO;474;COPO;18931;AHI VEREMOS;4238;G4197XAT
22;SANTIAGO DEL ESTERO;474;COPO;18931;AHI VEREMOS;4300;G4197XAT
22;SANTIAGO DEL ESTERO;474;COPO;18931;AHI VEREMOS;4452;G4197XAT
22;SANTIAGO DEL ESTERO;474;COPO;18931;AHI VEREMOS;5251;G4197XAT
22;SANTIAGO DEL ESTERO;474;COPO;18932;ARGENTINA;2354;G3749XAX
22;SANTIAGO DEL ESTERO;474;COPO;18933;ATAHUALPA;3714;G3714XAL
22;SANTIAGO DEL ESTERO;474;COPO;18934;BAHIA BLANCA;3749;G3749XAY
22;SANTIAGO DEL ESTERO;474;COPO;18935;BAJO GRANDE;4301;G4197XCK
22;SANTIAGO DEL ESTERO;474;COPO;18935;BAJO GRANDE;4338;G4197XCK
22;SANTIAGO DEL ESTERO;474;COPO;18936;BELGICA;3712;G3712XAG
22;SANTIAGO DEL ESTERO;474;COPO;18937;BELGRANO;4197;G5253XAA
22;SANTIAGO DEL ESTERO;474;COPO;18937;BELGRANO;4203;G5253XAA
22;SANTIAGO DEL ESTERO;474;COPO;18937;BELGRANO;4301;G5253XAA
22;SANTIAGO DEL ESTERO;474;COPO;18937;BELGRANO;5253;G5253XAA
22;SANTIAGO DEL ESTERO;474;COPO;18938;BOTIJA;4452;G4452XAA
22;SANTIAGO DEL ESTERO;474;COPO;18939;CAMPO ALEGRE;3749;G4206XBA
22;SANTIAGO DEL ESTERO;474;COPO;18939;CAMPO ALEGRE;4206;G4206XBA
22;SANTIAGO DEL ESTERO;474;COPO;18939;CAMPO ALEGRE;5251;G4206XBA
22;SANTIAGO DEL ESTERO;474;COPO;18940;CAMPO DEL AGUILA;3749;G3749XAT
22;SANTIAGO DEL ESTERO;474;COPO;18941;CAMPO LA ANGELITA;3712;G3712XBA
22;SANTIAGO DEL ESTERO;474;COPO;18942;CAMPO VERDE;3749;G4322XCJ
22;SANTIAGO DEL ESTERO;474;COPO;18942;CAMPO VERDE;4238;G4322XCJ
22;SANTIAGO DEL ESTERO;474;COPO;18942;CAMPO VERDE;4322;G4322XCJ
22;SANTIAGO DEL ESTERO;474;COPO;18942;CAMPO VERDE;4351;G4322XCJ
22;SANTIAGO DEL ESTERO;474;COPO;18942;CAMPO VERDE;4354;G4322XCJ
22;SANTIAGO DEL ESTERO;474;COPO;18943;CHAINIMA;3749;G3749XAV
22;SANTIAGO DEL ESTERO;474;COPO;18944;CHAÑAR AGUADA;4452;G4452XAM
22;SANTIAGO DEL ESTERO;474;COPO;18945;CHAÑAR POZO;3749;G5257XAH
22;SANTIAGO DEL ESTERO;474;COPO;18945;CHAÑAR POZO;4197;G5257XAH
22;SANTIAGO DEL ESTERO;474;COPO;18945;CHAÑAR POZO;4203;G5257XAH
22;SANTIAGO DEL ESTERO;474;COPO;18945;CHAÑAR POZO;4225;G5257XAH
22;SANTIAGO DEL ESTERO;474;COPO;18945;CHAÑAR POZO;4304;G5257XAH
22;SANTIAGO DEL ESTERO;474;COPO;18945;CHAÑAR POZO;4328;G5257XAH
22;SANTIAGO DEL ESTERO;474;COPO;18945;CHAÑAR POZO;5257;G5257XAH
22;SANTIAGO DEL ESTERO;474;COPO;18946;COLOMBIA;3714;G3714XAM
22;SANTIAGO DEL ESTERO;474;COPO;18947;COLONIA EL PELIGRO;3712;G3712XAH
22;SANTIAGO DEL ESTERO;474;COPO;18948;CRUZ BAJADA;4452;G4452XAN
22;SANTIAGO DEL ESTERO;474;COPO;18949;DESVIO KILOMETRO 1342;3712;G3712XAF
22;SANTIAGO DEL ESTERO;474;COPO;18950;DOS ARBOLES;4452;G4452XAB
22;SANTIAGO DEL ESTERO;474;COPO;18951;DOS VARONES;3749;G3749XAR
22;SANTIAGO DEL ESTERO;474;COPO;18952;EL AEROLITO;3712;G3712XAI
22;SANTIAGO DEL ESTERO;474;COPO;18953;EL CABURE;3712;G3712XAR
22;SANTIAGO DEL ESTERO;474;COPO;18954;EL CERRITO;4301;G4197XAH
22;SANTIAGO DEL ESTERO;474;COPO;18955;EL CERRITO MONTE QUEMADO;3714;G3714XAC
22;SANTIAGO DEL ESTERO;474;COPO;18956;EL CORRIDO;3749;G3749XAZ
22;SANTIAGO DEL ESTERO;474;COPO;18957;EL PALMAR;3714;G3714XAN
22;SANTIAGO DEL ESTERO;474;COPO;18958;EL PALOMAR;3714;G5253XAS
22;SANTIAGO DEL ESTERO;474;COPO;18958;EL PALOMAR;4186;G5253XAS
22;SANTIAGO DEL ESTERO;474;COPO;18958;EL PALOMAR;4351;G5253XAS
22;SANTIAGO DEL ESTERO;474;COPO;18959;EL PERSEGUIDO;3712;G3712XAJ
22;SANTIAGO DEL ESTERO;474;COPO;18960;EL ROSARIO;3749;G4322XBP
22;SANTIAGO DEL ESTERO;474;COPO;18960;EL ROSARIO;4197;G4322XBP
22;SANTIAGO DEL ESTERO;474;COPO;18960;EL ROSARIO;4230;G4322XBP
22;SANTIAGO DEL ESTERO;474;COPO;18960;EL ROSARIO;4300;G4322XBP
22;SANTIAGO DEL ESTERO;474;COPO;18960;EL ROSARIO;4322;G4322XBP
22;SANTIAGO DEL ESTERO;474;COPO;18960;EL ROSARIO;4353;G4322XBP
22;SANTIAGO DEL ESTERO;474;COPO;18961;EL SILENCIO;3712;G3712XAK
22;SANTIAGO DEL ESTERO;474;COPO;18962;EL VALLE;3749;G3749XBB
22;SANTIAGO DEL ESTERO;474;COPO;18963;EL VALLE DE ORIENTE;3749;G3749XBC
22;SANTIAGO DEL ESTERO;474;COPO;18964;ESTADOS UNIDOS;3712;G3712XAL
22;SANTIAGO DEL ESTERO;474;COPO;18965;FIERRO;3714;G3714XAP
22;SANTIAGO DEL ESTERO;474;COPO;18966;GUARCAN;4301;G4197XAG
22;SANTIAGO DEL ESTERO;474;COPO;18967;GUAYACAN;4452;G4452XAO
22;SANTIAGO DEL ESTERO;474;COPO;18968;KILOMETRO 1210;3714;G3714XAD
22;SANTIAGO DEL ESTERO;474;COPO;18969;KILOMETRO 1255;3714;G3714XAE
22;SANTIAGO DEL ESTERO;474;COPO;18970;KILOMETRO 1297;3712;G3712XAM
22;SANTIAGO DEL ESTERO;474;COPO;18971;KILOMETRO 1314;3712;G3712XAS
22;SANTIAGO DEL ESTERO;474;COPO;18972;KILOMETRO 1338;3712;G3712XAT
22;SANTIAGO DEL ESTERO;474;COPO;18973;LA ANGELITA;3712;G3712XAN
22;SANTIAGO DEL ESTERO;474;COPO;18974;LA ARMONIA;3712;G3712XAO
22;SANTIAGO DEL ESTERO;474;COPO;18974;LA ARMONIA;3749;G3712XAO
22;SANTIAGO DEL ESTERO;474;COPO;18975;LA CAÑADA;3749;G4313XBC
22;SANTIAGO DEL ESTERO;474;COPO;18975;LA CAÑADA;4302;G4313XBC
22;SANTIAGO DEL ESTERO;474;COPO;18975;LA CAÑADA;4313;G4313XBC
22;SANTIAGO DEL ESTERO;474;COPO;18975;LA CAÑADA;4322;G4313XBC
22;SANTIAGO DEL ESTERO;474;COPO;18975;LA CAÑADA;4354;G4313XBC
22;SANTIAGO DEL ESTERO;474;COPO;18975;LA CAÑADA;5250;G4313XBC
22;SANTIAGO DEL ESTERO;474;COPO;18976;LA DEFENSA;3749;G3749XBE
22;SANTIAGO DEL ESTERO;474;COPO;18977;LA ESPERANZA;3064;G4206XBM
22;SANTIAGO DEL ESTERO;474;COPO;18977;LA ESPERANZA;3749;G4206XBM
22;SANTIAGO DEL ESTERO;474;COPO;18977;LA ESPERANZA;4184;G4206XBM
22;SANTIAGO DEL ESTERO;474;COPO;18977;LA ESPERANZA;4206;G4206XBM
22;SANTIAGO DEL ESTERO;474;COPO;18977;LA ESPERANZA;4230;G4206XBM
22;SANTIAGO DEL ESTERO;474;COPO;18977;LA ESPERANZA;4322;G4206XBM
22;SANTIAGO DEL ESTERO;474;COPO;18977;LA ESPERANZA;4354;G4206XBM
22;SANTIAGO DEL ESTERO;474;COPO;18977;LA ESPERANZA;5251;G4206XBM
22;SANTIAGO DEL ESTERO;474;COPO;18978;LA FIRMEZA;3714;G3714XAF
22;SANTIAGO DEL ESTERO;474;COPO;18979;LA GRANJA;3712;G3712XAP
22;SANTIAGO DEL ESTERO;474;COPO;18979;LA GRANJA;4300;G3712XAP
22;SANTIAGO DEL ESTERO;474;COPO;18980;LA UNION;2354;G2354XAN
22;SANTIAGO DEL ESTERO;474;COPO;18980;LA UNION;3749;G2354XAN
22;SANTIAGO DEL ESTERO;474;COPO;18981;LA VIRTUD;3714;G3714XAG
